场景路径,章节名称,scnbeventsAttachPropDescriptor,scnbeventsCameraClipDescriptor,scnbeventsChangeWorkEvent,scnbeventsSocketDescriptor,scnbeventsStopWorkEvent,scnbeventsVFXDurationEventDescriptor,scnbeventsVFXEventDescriptor,toolsAddIdleEventDescriptor,toolsAudioEventDescriptor,toolsChangeIdleAnimDescriptor,toolsDialogLineEventDescriptor,toolsLookAtAdvancedDescriptor,toolsLookAtDescriptor,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_hand_disappear_elevator,0,0,0,0,0,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_39,0,0,1,0,0,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_AV_sfx,0,0,0,0,0,0,0,0,1,0,1,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sitting_idle,0,0,1,0,0,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_restaurant_crew_comment,0,0,0,0,0,0,0,0,0,0,1,0,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_by_the_stairs,0,0,1,0,0,0,0,0,0,0,1,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_animations,0,0,1,0,0,0,0,0,0,2,1,0,1,0
base\quest\testgym\meethanako.scenesolution,q115_00b_29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_hand_appear_elevator,0,0,0,0,0,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,sadasdad,0,0,2,0,0,0,0,0,0,0,0,0,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_guards,0,0,0,1,0,0,0,0,0,0,1,0,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_leave_restaurant,0,0,0,1,0,0,1,0,0,0,1,0,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_beginning,0,0,1,1,0,0,0,0,0,0,4,0,2,3
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_furious_johnny,2,0,5,2,1,0,2,0,0,1,5,0,5,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_angry_johnny,0,1,2,0,1,0,2,0,0,0,5,0,0,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_nervous_johnny,0,1,2,1,1,0,3,0,0,1,5,0,0,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_v_is_fine,0,1,1,1,0,0,2,0,0,1,3,0,2,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_v_is_not_good,0,1,1,1,0,0,2,0,0,1,3,0,2,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_mikoshi,2,0,3,6,0,0,2,0,0,2,5,0,3,4
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_mikoshi_go_one,0,0,0,1,0,0,0,0,0,0,2,0,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_mikoshi_how_is_that,0,0,0,1,0,0,0,0,0,0,1,0,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_my_brother,0,0,0,2,0,0,0,0,0,1,2,0,1,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_greet,0,0,0,1,0,0,0,0,0,0,1,0,0,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_nervous,0,0,2,1,0,0,0,0,0,2,5,0,0,5
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_what_hanako,0,0,0,1,0,0,0,0,0,0,4,0,2,3
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_business_of_arasakas,0,0,0,1,0,0,0,0,0,1,2,0,1,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_rather_not_offert,0,0,1,3,0,0,0,0,0,1,4,0,0,4
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_kill_brother,0,0,0,1,0,0,0,0,0,0,2,0,0,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_good_offert,0,0,1,4,0,0,0,0,0,1,3,0,2,4
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_conclusion,2,0,2,5,1,0,0,0,0,3,9,0,14,12
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_inside_fluff,0,0,0,1,0,0,0,0,0,2,5,0,1,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_power_fluff,2,0,1,0,0,0,3,0,0,2,6,0,4,7
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_v_getting_out,0,0,0,1,0,0,0,0,0,1,2,0,0,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_let_me_hear,0,0,0,1,0,0,0,0,0,0,3,0,2,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_v_doesnt_get_it,0,0,0,0,0,0,0,0,0,1,2,0,0,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_as_hanako_wish,0,0,0,0,0,0,0,0,0,0,1,0,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_blue_about_hanako,2,0,1,3,0,0,3,0,0,0,4,0,1,6
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_shut_up_johnny,0,0,0,1,0,0,0,0,0,0,1,0,1,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_what_do_u_mean,0,0,1,1,0,0,0,0,0,2,3,0,0,4
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_angry_mean,0,0,1,1,0,0,0,0,0,2,3,0,0,4
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_disturbing_conlusion,0,0,2,2,0,0,0,0,0,0,1,0,2,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_pissed,0,0,1,1,0,0,0,0,0,1,1,0,1,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_waitress,0,0,0,0,0,0,0,0,0,0,1,0,0,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_inital_pose,0,0,1,0,0,0,0,0,0,1,1,0,2,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_comment_02,0,0,0,1,0,0,0,0,0,0,1,0,2,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_comment_03,0,0,0,2,0,0,0,0,0,1,1,0,2,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_comment_04,0,0,0,1,0,0,0,0,0,1,1,0,2,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_sama,0,0,1,1,0,0,0,0,0,0,3,0,0,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_reaction,0,0,0,0,0,0,0,0,0,0,1,0,2,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_greeting,0,0,0,1,0,0,0,0,0,0,1,0,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_power_conclusion,0,0,1,1,0,0,0,0,0,1,1,0,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_pissed_02,0,0,1,1,0,0,0,0,0,1,1,0,2,1
