场景路径,段落名称,轨道总数,类型1轨道数,类型2轨道数,类型3轨道数,类型4轨道数,类型5轨道数,类型6轨道数,类型7轨道数,类型8轨道数,Clip总数,动画种类数,动画使用总次数
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_disturbing_conlusion,13,1,2,2,2,2,2,0,2,8,3,4
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_pissed,7,1,1,1,1,1,1,0,1,5,2,4
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_waitress,13,1,2,2,2,2,2,0,2,3,1,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_inital_pose,19,1,3,3,3,3,3,0,3,5,2,4
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_comment_02,7,1,1,1,1,1,1,0,1,5,1,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_comment_03,7,1,1,1,1,1,1,0,1,7,2,4
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_comment_04,7,1,1,1,1,1,1,0,1,6,4,4
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_sama,13,1,2,2,2,2,2,0,2,6,2,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_reaction,7,1,1,1,1,1,1,0,1,5,2,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_greeting,7,1,1,1,1,1,1,0,1,2,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_power_conclusion,13,1,2,2,2,2,2,0,2,4,2,4
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_pissed_02,7,1,1,1,1,1,1,0,1,7,3,5
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_pissed_lookat_reaction,7,1,1,1,1,1,1,0,1,3,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_restaurant_crew_comment,7,1,1,1,1,1,1,0,1,3,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_relax_johnny,7,1,1,1,1,1,1,0,1,6,3,5
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_no_love_for_corpo,7,1,1,1,1,1,1,0,1,5,2,4
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_v_drinking,16,1,2,2,2,2,2,0,3,11,2,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_v_getting_from_the_bar,14,1,2,2,2,2,2,0,2,2,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_v_getting_from_the_bar_2,14,1,2,2,2,2,2,0,2,2,0,0
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_player_sitting_animation,7,1,1,1,1,1,1,0,1,5,2,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_street_guards_lookats,13,1,2,2,2,2,2,0,2,5,1,6
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_street_guard_movement,13,1,2,2,2,2,2,0,2,6,2,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_walking_into_frame,7,1,1,1,1,1,1,0,1,4,2,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_walking_into_frame_02,7,1,1,1,1,1,1,0,1,4,2,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_guard_02_nod,7,1,1,1,1,1,1,0,1,2,1,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_idle_sitting_in_the_back,13,1,2,2,2,2,2,0,2,2,2,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_street_guard_to_hanako,13,1,2,2,2,2,2,0,2,10,2,7
