scene_name,quest_category,choice_sections,normal_sections,total_sections,total_lines,file_path
q103_02_afterlife_intro,main_quests/part1/q103,1,7,8,11,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q103\scenes\q103_02_afterlife_intro.scnlocjson
q103_03_rogue,main_quests/part1/q103,20,91,111,206,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q103\scenes\q103_03_rogue.scnlocjson
q103_05_panam_call,main_quests/part1/q103,3,9,12,30,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q103\scenes\q103_05_panam_call.scnlocjson
q103_06a_camp_drive,main_quests/part1/q103,5,18,23,75,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q103\scenes\q103_06a_camp_drive.scnlocjson
q103_06b_nomad_camp,main_quests/part1/q103,10,40,50,97,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q103\scenes\q103_06b_nomad_camp.scnlocjson
q103_06_meet_panam,main_quests/part1/q103,11,38,49,145,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q103\scenes\q103_06_meet_panam.scnlocjson
q103_07_ghost_town_drive,main_quests/part1/q103,6,36,42,109,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q103\scenes\q103_07_ghost_town_drive.scnlocjson
q103_08_ghost_town_plan,main_quests/part1/q103,6,22,28,38,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q103\scenes\q103_08_ghost_town_plan.scnlocjson
q103_09_raffen_shiv,main_quests/part1/q103,1,19,20,44,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q103\scenes\q103_09_raffen_shiv.scnlocjson
q103_10_escape,main_quests/part1/q103,4,14,18,29,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q103\scenes\q103_10_escape.scnlocjson
q103_11_tunnel_drive,main_quests/part1/q103,3,10,13,48,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q103\scenes\q103_11_tunnel_drive.scnlocjson
q103_12_tunnel_ambush,main_quests/part1/q103,5,24,29,61,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q103\scenes\q103_12_tunnel_ambush.scnlocjson
q103_13_roadhouse_drive,main_quests/part1/q103,4,19,23,54,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q103\scenes\q103_13_roadhouse_drive.scnlocjson
q103_14_maelstrom,main_quests/part1/q103,5,27,32,61,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q103\scenes\q103_14_maelstrom.scnlocjson
q103_15_roadhouse_bar,main_quests/part1/q103,28,69,97,193,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q103\scenes\q103_15_roadhouse_bar.scnlocjson
q104_01a_roadhouse_meeting,main_quests/part1/q104,7,38,45,90,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q104\scenes\q104_01a_roadhouse_meeting.scnlocjson
q104_01b_calibration,main_quests/part1/q104,14,72,86,213,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q104\scenes\q104_01b_calibration.scnlocjson
q104_02a_breaking_antenna,main_quests/part1/q104,2,22,24,34,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q104\scenes\q104_02a_breaking_antenna.scnlocjson
q104_02_av_shotdown,main_quests/part1/q104,5,29,34,85,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q104\scenes\q104_02_av_shotdown.scnlocjson
q104_03_av_chasing,main_quests/part1/q104,0,12,12,28,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q104\scenes\q104_03_av_chasing.scnlocjson
q104_04_nomad_hurt,main_quests/part1/q104,2,19,21,43,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q104\scenes\q104_04_nomad_hurt.scnlocjson
q104_05_av_debris,main_quests/part1/q104,15,79,94,252,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q104\scenes\q104_05_av_debris.scnlocjson
q104_06_following_tracks,main_quests/part1/q104,0,16,16,65,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q104\scenes\q104_06_following_tracks.scnlocjson
q104_07a_gas_station_infiltration,main_quests/part1/q104,0,6,6,10,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q104\scenes\q104_07a_gas_station_infiltration.scnlocjson
